id,bedrooms,bathrooms,floors,waterfront,view,condition,grade,zipcode,sale_month,was_renovated,effective_age,price_log,sqft_living_log,sqft_lot_log,sqft_living15_log
7229300521,2,1.0,1.0,0,0,3,7,98178,10,0,59,12.351475171599722,7.074116816197362,8.639587799629844,7.201170883281678
6414100192,3,2.25,2.0,0,0,3,7,98125,12,1,23,13.195615697878253,7.852050207265889,8.887790764195326,7.43307534889858
5631500400,2,1.0,1.0,0,0,3,6,98028,2,0,82,12.100717685412471,6.647688373563329,9.210440366976517,7.908754738783246
2487200875,4,3.0,1.0,0,0,5,7,98136,12,0,49,13.311331132544721,7.581209826196346,8.517393171418904,7.215975002651466
1954400510,3,2.0,1.0,0,0,3,8,98074,2,0,28,13.1421679654829,7.427144133408616,8.997270906233448,7.496097345175956
7237550310,4,4.5,1.0,0,0,3,11,98053,5,0,13,14.018452218287162,8.598035579260339,11.532051392768706,8.46821300919452
1321400060,3,2.25,2.0,0,0,3,7,98003,6,0,19,12.458778882573533,7.447751280047908,8.827614750837508,7.713784616598755
2008000270,3,1.5,1.0,0,0,3,7,98198,1,0,52,12.583998677043747,6.966967138613983,9.181117513299279,7.409136443920128
2414600126,3,1.0,1.0,0,0,3,7,98146,4,0,55,12.343662665771719,7.484930283289661,8.918784137975802,7.484930283289661
3793500160,3,2.5,2.0,0,0,3,7,98038,3,0,12,12.685410698175234,7.544861068658458,8.788898309344878,7.779466967458324
1736800520,3,2.5,1.0,0,0,3,8,98007,4,0,50,13.403777346275337,8.177796683277778,9.189831495344642,7.701200180857446
9212900260,2,1.0,1.0,0,0,4,7,98115,5,0,72,13.056225711649638,7.057036981697891,8.699681400989514,7.193685818395112
114101516,3,1.0,1.5,0,0,4,7,98028,5,0,87,12.644330802262578,7.266128779556451,9.898575508175107,7.484930283289661
6054650070,3,1.75,1.0,0,0,4,7,98074,10,0,37,12.899222326086994,7.223295679562314,9.177920480720072,7.223295679562314
1175000570,5,2.0,1.5,0,0,3,7,98107,3,0,115,13.180634172318978,7.501634457883413,8.486940148245216,7.215975002651466
9297300055,4,3.0,2.0,0,3,3,9,98126,1,0,36,13.384729180332174,7.989899374942939,8.517393171418904,7.669028288589683
1875500060,3,2.0,2.0,0,0,3,7,98019,7,0,20,12.886643575525625,7.544861068658458,9.549736900114642,7.544861068658458
6865200140,4,1.0,1.5,0,0,4,7,98103,5,0,98,13.091906231773164,7.3783837129967145,8.366602832783736,7.384610383176974
16000397,2,1.0,1.0,0,0,4,7,98002,12,0,93,12.149507585033072,7.0909098220799835,9.19532825185568,6.966967138613983
7983200060,3,1.0,1.0,0,0,4,7,98003,4,0,46,12.345838935721968,7.1316985104669115,9.187583384853566,7.155396301896734
6300500875,4,1.75,1.0,0,0,4,7,98133,5,0,67,12.861001210669146,7.390798521735676,8.513385953073284,7.244941546337007
2524049179,3,2.75,1.0,0,4,3,9,98040,8,0,46,14.508658238524095,8.02322468471667,10.711480124765114,8.321421586897879
7137970340,5,2.5,2.0,0,0,3,8,98092,7,0,19,12.560247968016562,7.7279755421055585,8.748463629942055,7.714677473800927
8091400200,2,1.5,1.0,0,0,3,7,98030,5,0,29,12.43996225063003,6.976348070447749,9.174091239301061,7.107425474110705
3814700200,3,2.25,2.0,0,0,4,8,98030,11,0,29,12.703816069256568,7.804251383528112,8.77971129020447,7.696667081526462
1202000200,3,2.0,1.5,0,0,5,6,98002,11,0,73,12.358798024384122,7.444833273892193,8.454892165218858,6.93828448401696
1794500383,3,1.75,2.0,0,0,3,8,98119,6,0,99,13.75043962845585,7.804251383528112,7.898039690764619,7.473637108496206
3303700376,3,1.0,1.5,0,0,5,8,98112,12,0,105,13.410546824147012,7.244941546337007,7.366445148327599,7.528869256642251
5101402488,3,1.75,1.0,0,0,3,7,98115,6,0,66,12.989976472461,7.327123292259293,8.761080103868347,7.327123292259293
1873100390,4,2.5,2.0,0,0,3,8,98052,3,0,10,13.4856180275228,7.852050207265889,8.878218658092228,7.875119281040293
8562750320,3,2.5,2.0,0,0,3,8,98027,11,0,11,13.271646802771485,7.749753406274437,8.289288323000317,7.855932199718614
2426039314,2,1.5,3.0,0,0,3,7,98133,12,0,9,12.54254845357358,7.0825485693553,7.143617602704121,7.237778191923443
461000390,4,1.75,1.5,0,0,4,7,98117,6,0,85,13.44081856306726,7.754052639035757,8.517393171418904,7.2868764117507
7589200193,3,1.0,1.5,0,0,4,8,98117,11,0,85,13.190023895035274,6.994849985833071,8.006700845440367,7.359467638255621
7955080270,4,2.75,1.0,0,0,3,7,98058,12,0,33,12.683861515988351,7.630946580890459,8.803874763534434,7.611347717403621
9547205180,3,2.5,1.5,0,0,3,8,98115,6,1,12,13.453106376097134,7.741099090035366,8.026496938945412,7.372118028337787
9435300030,4,1.0,1.0,0,0,1,5,98052,5,0,81,13.217675375388819,7.415175109613295,10.458779721372386,7.6783263565068856
2768000400,4,2.0,2.0,0,0,4,8,98107,12,0,110,13.369225017834633,7.766840537085513,8.699681400989514,7.456454555176209
7895500070,4,1.0,1.0,0,0,2,7,98001,2,0,46,12.388398368982115,7.107425474110705,8.996651979432729,7.1631723908466425
2078500320,4,2.5,2.0,0,0,3,8,98056,6,0,18,13.312985389904174,7.8713112033234065,8.929832503272403,7.8713112033234065
5547700270,4,2.5,2.0,0,0,3,9,98074,7,0,14,13.345508528717259,7.852050207265889,8.616314282284044,7.81237820598861
7766200013,4,2.25,1.0,0,0,3,8,98166,8,0,30,13.560619598657233,8.347827345782498,10.093570577723847,7.787796878181171
7203220400,5,2.75,2.0,0,0,3,9,98053,7,0,0,13.667000108756058,8.18757739559151,8.637639344492104,8.195885391314796
